order_experience,inernational_oil_pr,Exchange_rate,shipowner,ship_kinds,ship_fee,chinese_bid_yn,ship size,domestic_competitor_bidding_yn,order_backlog,bid_pr,order_yn
yes,53.99,1270.0,F,A,26854.0,yes,30176.95,no,107.86,11.62,yes
yes,32.97,1342.0,B,A,16329.0,yes,21064.22,no,265.65,11.04,yes
yes,35.41,1346.0,F,B,17048.0,no,16755.96,yes,137.52,10.82,yes
yes,23.13,1118.0,A,B,6708.0,yes,21658.53,no,107.86,18.65,yes
yes,27.37,1097.0,B,B,8183.0,no,13637.54,yes,240.71,10.82,yes
yes,25.43,1075.0,K,E,6556.0,no,15118.02,yes,108.35,10.82,yes
yes,51.3,1251.0,J,B,8601.0,yes,18277.78,yes,153.53,12.01,yes
no,50.37,1156.0,M,H,7013.0,no,17347.35,no,148.97,12.02,yes
yes,28.89,1140.0,I,A,10678.0,no,15643.69,no,108.65,16.43,yes
no,23.08,1382.0,M,H,5522.0,yes,30567.4,yes,108.35,10.82,yes
yes,25.64,1620.0,D,A,11948.0,yes,28684.37,no,108.01,13.64,yes
no,44.8,1271.0,B,B,4362.0,no,14269.61,yes,185.06,10.82,yes
no,17.19,1270.0,B,B,7010.0,yes,26596.12,no,162.18,14.96,yes
yes,22.16,1323.0,D,B,6611.0,yes,19548.95,no,191.79,12.43,yes
yes,52.09,1349.0,G,B,14989.0,yes,36282.75,no,107.91,23.31,yes
no,40.9,1182.0,D,B,,yes,25789.15,yes,288.79,16.24,yes
yes,23.76,1047.0,C,A,,no,13838.93,yes,107.71,10.82,yes
yes,27.31,1146.0,A,B,,yes,13673.69,no,193.17,10.82,yes
yes,41.5,1374.0,I,B,,yes,24696.07,no,304.35,11.06,yes
yes,21.14,1104.0,C,A,,no,15452.86,yes,108.11,10.82,yes
no,21.47,1126.0,B,B,5654.0,yes,15157.6,no,148.57,10.83,yes
yes,39.4,1270.0,J,A,10425.0,yes,25818.82,yes,144.94,10.83,yes
yes,24.95,1267.0,A,B,6672.0,yes,25452.59,no,108.99,18.31,yes
no,26.57,1279.0,E,I,7508.0,yes,23078.57,yes,148.62,11.55,yes
yes,30.81,1162.0,A,B,6617.0,yes,18663.2,no,217.92,11.38,yes
yes,21.4,1457.0,A,B,8626.0,no,15463.85,no,137.67,10.82,yes
yes,15.54,1020.0,B,B,7956.0,yes,18594.34,yes,139.93,10.82,yes
no,15.97,1306.0,H,B,5369.0,yes,17650.72,no,135.17,11.51,yes
yes,27.56,1150.0,F,B,5318.0,no,13877.94,yes,209.82,12.14,yes
no,18.51,1064.0,B,B,9786.0,yes,15024.95,no,108.35,10.82,yes
yes,23.05,1256.0,J,B,12257.0,yes,16316.21,no,219.83,11.66,yes
yes,21.4,1528.0,F,A,6275.0,yes,33855.51,yes,216.25,11.17,yes
yes,40.06,1330.0,A,A,19077.0,yes,35969.72,yes,263.44,10.82,yes
yes,17.14,1377.0,A,B,7855.0,no,14667.13,no,152.21,10.82,yes
yes,29.57,1333.0,A,B,12484.0,yes,23375.35,no,236.78,12.22,yes
no,23.56,1255.0,B,B,6422.0,yes,18604.8,no,133.01,11.41,yes
yes,23.53,1432.0,I,A,6474.0,yes,15698.06,no,149.7,10.82,yes
no,56.46,1228.0,M,H,9205.0,no,13912.81,no,146.27,11.88,yes
no,24.83,1341.0,B,B,20388.0,yes,20474.3,yes,162.72,10.82,yes
no,33.79,1201.0,G,B,8878.0,no,15801.94,yes,108.11,10.82,yes
yes,49.32,1199.0,D,B,12335.0,yes,22555.46,no,109.38,14.42,yes
yes,46.12,1240.0,J,A,9763.0,yes,32088.63,yes,136.98,10.82,yes
yes,52.26,1260.0,B,A,19100.0,no,15407.49,yes,143.37,10.82,yes
yes,30.64,1468.0,H,B,9537.0,no,17064.77,yes,115.42,10.82,yes
yes,22.89,1352.0,F,B,7852.0,no,13902.33,no,152.85,13.16,yes
yes,21.09,1189.0,F,B,9743.0,yes,17456.31,yes,142.34,11.14,yes
yes,26.12,1085.0,B,B,14128.0,yes,16028.0,yes,321.89,13.25,yes
no,20.44,1325.0,H,B,7647.0,no,13932.66,yes,108.01,10.82,yes
no,36.68,1050.0,A,B,4738.0,no,12330.4,no,226.42,10.88,yes
no,29.01,1178.0,B,A,7867.0,yes,32302.63,no,108.7,11.51,yes
yes,19.93,1217.0,D,B,9674.0,yes,33358.42,yes,196.06,14.43,yes
no,19.93,1102.0,B,B,6084.0,yes,22393.78,no,190.61,13.57,yes
yes,36.68,1160.0,D,E,9855.0,yes,22945.5,no,108.45,11.27,yes
no,12.44,1244.0,A,A,6711.0,yes,25201.04,no,145.09,10.83,yes
yes,24.34,1132.0,F,B,6279.0,no,14411.9,yes,210.95,12.24,yes
yes,59.0,1362.0,K,E,16776.0,yes,42387.85,yes,108.06,16.06,yes
yes,30.1,1158.0,D,A,11436.0,no,15324.63,no,214.58,11.08,yes
no,28.97,1402.0,B,B,13788.0,yes,22062.27,yes,158.2,10.82,yes
yes,49.47,1266.0,B,B,9184.0,yes,18478.35,no,207.8,11.19,yes
yes,39.09,1095.0,I,B,7803.0,yes,24777.5,yes,230.29,15.66,yes
yes,65.41,1338.0,B,A,11984.0,no,16225.63,yes,245.91,10.82,yes
yes,20.77,1794.0,L,G,8920.0,no,12388.32,yes,296.79,109.04,yes
yes,32.03,1177.0,D,A,11720.0,no,15638.22,no,207.07,11.02,yes
yes,49.35,1025.0,A,A,5565.0,yes,25338.14,no,147.05,11.37,yes
yes,64.75,1432.0,G,A,19024.0,no,14596.41,yes,118.12,13.23,yes
yes,25.1,1148.0,A,B,14274.0,yes,17283.18,no,191.94,10.82,yes
no,37.21,1274.0,E,B,10019.0,no,16463.1,yes,108.7,16.21,yes
yes,37.49,1061.0,D,B,6961.0,no,12305.47,yes,206.13,10.96,yes
yes,40.19,1253.0,D,E,17844.0,yes,34104.51,no,154.71,12.31,yes
yes,59.28,1351.0,E,B,13640.0,yes,21717.79,no,107.27,10.82,yes
yes,37.42,1541.0,N,F,13513.0,yes,25752.24,yes,108.5,10.98,yes
no,26.55,1105.0,H,B,6141.0,no,12903.66,yes,251.81,10.82,yes
no,23.26,1150.0,B,B,7592.0,yes,21340.54,no,198.91,13.78,yes
no,51.33,1320.0,G,B,6699.0,no,16300.52,yes,109.24,10.82,yes
no,32.72,1193.0,D,B,8084.0,yes,14432.45,yes,265.46,10.82,yes
yes,27.29,1122.0,A,B,5722.0,no,17326.28,no,108.65,10.82,yes
yes,36.17,1228.0,D,E,11588.0,yes,23485.5,no,108.35,11.3,yes
yes,16.98,1407.0,I,B,7786.0,yes,20597.11,no,160.46,10.82,yes
yes,37.49,1114.0,F,B,14310.0,yes,17735.96,yes,261.63,10.82,yes
yes,38.41,1759.0,F,B,8730.0,yes,19295.73,no,155.5,10.83,yes
yes,39.53,1290.0,F,A,10546.0,no,13753.47,yes,165.91,10.83,yes
no,30.49,1323.0,D,E,11846.0,yes,21454.26,yes,108.74,14.15,yes
no,30.39,1183.0,F,B,8601.0,no,16890.17,no,222.58,10.83,yes
yes,20.74,1250.0,F,B,5783.0,no,13822.02,no,159.38,10.82,yes
no,43.79,1015.0,D,B,10013.0,no,15754.28,no,107.22,10.82,yes
yes,24.3,1434.0,I,B,6732.0,yes,25935.95,no,131.63,11.28,yes
yes,25.21,1389.0,E,I,7524.0,no,13891.94,no,107.76,10.82,yes
yes,40.36,1218.0,I,A,13540.0,no,18421.69,yes,395.9,10.82,yes
no,25.92,1197.0,B,B,6444.0,yes,21596.78,no,148.62,10.83,yes
yes,29.12,1101.0,A,A,7269.0,yes,34139.78,yes,317.76,11.58,yes
yes,31.35,1180.0,F,B,9793.0,yes,19682.49,yes,146.9,10.83,yes
no,18.73,1458.0,I,A,7099.0,yes,28159.74,no,108.01,14.51,yes
yes,45.9,1237.0,A,A,16987.0,yes,37695.2,yes,270.81,10.82,yes
yes,33.4,1322.0,F,A,10693.0,no,15821.63,yes,159.43,10.82,yes
no,28.36,1115.0,B,A,10657.0,no,13735.01,no,208.74,11.72,yes
yes,44.5,1111.0,K,E,8841.0,no,14295.02,no,205.54,10.82,yes
yes,53.11,1276.0,G,B,14168.0,yes,35331.78,no,108.06,23.2,yes
yes,50.98,1100.0,E,B,5779.0,yes,15864.64,no,314.03,10.82,yes
no,76.46,1538.0,M,D,6135.0,yes,35864.81,no,107.66,11.1,yes
no,30.56,1106.0,A,B,6334.0,no,14649.43,no,230.59,10.87,yes
no,22.19,1138.0,K,E,9484.0,yes,19343.22,no,144.89,10.82,yes
yes,23.05,1130.0,D,A,7855.0,no,15124.58,no,271.45,11.06,yes
yes,31.84,1250.0,I,B,9730.0,yes,18010.99,yes,235.21,10.82,yes
no,24.29,1195.0,H,B,5496.0,no,12008.77,no,140.96,10.82,yes
no,55.04,1105.0,B,A,6662.0,yes,23925.66,no,127.75,11.5,yes
yes,22.11,1153.0,C,A,7892.0,yes,24793.53,no,191.35,11.22,yes
no,37.29,1100.0,D,B,10667.0,yes,28184.81,no,108.3,11.3,yes
yes,59.7,1330.0,E,B,16591.0,yes,22884.04,no,107.76,10.82,yes
yes,73.8,1305.0,E,A,15024.0,yes,18555.32,no,108.99,10.82,yes
yes,33.76,1286.0,B,A,12410.0,yes,28507.5,yes,294.43,11.89,yes
yes,26.55,1088.0,J,B,6234.0,yes,17213.59,yes,267.52,10.82,yes
yes,58.13,1250.0,H,B,10686.0,no,14520.19,no,197.29,10.82,yes
yes,32.29,1144.0,E,A,5794.0,no,15812.86,yes,244.64,10.82,yes
yes,28.55,1164.0,H,B,7740.0,yes,17902.11,yes,234.42,11.48,yes
no,54.35,1060.0,D,B,7040.0,no,15348.61,no,108.5,10.82,yes
yes,50.56,1397.0,J,B,13155.0,yes,30026.37,no,190.32,15.93,yes
yes,32.06,1096.0,A,A,11309.0,yes,24862.51,no,269.34,11.7,yes
yes,23.35,1265.0,H,B,7007.0,yes,35942.85,no,126.47,10.99,yes
no,21.19,1389.0,F,B,8624.0,yes,25841.41,yes,122.1,11.41,yes
no,15.31,1105.0,D,A,8165.0,yes,13461.3,no,146.81,10.82,yes
yes,34.04,1520.0,F,B,9892.0,no,15647.55,yes,287.9,11.38,yes
yes,29.78,1516.0,D,A,15424.0,yes,29360.62,no,108.5,13.05,yes
yes,56.56,1309.0,K,E,17286.0,yes,34038.26,yes,108.01,17.06,yes
no,30.54,1164.0,D,B,7757.0,yes,13386.37,yes,271.6,10.82,yes
no,22.32,1265.0,H,B,8929.0,yes,18774.38,no,143.27,11.77,yes
no,32.46,1508.0,E,C,8363.0,no,13714.76,no,108.25,26.85,yes
no,10.26,1063.0,A,D,20431.0,no,15759.71,yes,242.18,10.82,yes
no,42.32,1302.0,E,B,14004.0,no,16537.3,yes,108.4,15.54,yes
yes,22.29,1205.0,F,B,11233.0,yes,23149.03,no,143.22,10.82,yes
yes,25.36,1367.0,I,B,5176.0,yes,25074.42,no,135.85,11.31,yes
no,84.78,1080.0,L,D,5968.0,yes,17302.31,no,204.86,10.93,yes
yes,44.65,1137.0,I,A,11692.0,yes,22191.01,yes,220.23,12.0,yes
yes,39.32,1251.0,I,A,15026.0,yes,21538.6,yes,107.57,11.85,yes
yes,38.76,1118.0,D,B,8480.0,yes,30739.56,no,121.17,11.44,yes
yes,50.01,1065.0,D,A,8252.0,yes,22561.44,no,194.89,11.78,yes
yes,48.96,1177.0,D,B,7218.0,yes,25405.2,yes,244.19,11.0,yes
yes,32.51,1177.0,A,A,11876.0,no,14751.19,yes,107.91,10.83,yes
yes,24.42,1137.0,D,A,11248.0,yes,18362.51,yes,195.72,10.99,yes
yes,29.06,1556.0,H,B,10870.0,yes,17740.86,yes,188.26,10.82,yes
no,52.67,1418.0,D,B,17207.0,yes,24275.84,yes,108.79,12.22,yes
yes,23.73,1161.0,I,B,8768.0,yes,18758.88,yes,264.67,10.82,yes
yes,14.32,1171.0,D,B,5964.0,yes,20162.13,yes,264.57,11.73,yes
no,20.92,1192.0,D,A,9497.0,no,15458.1,no,199.26,10.82,yes
yes,18.45,1101.0,B,B,10122.0,yes,19823.97,yes,143.47,10.82,yes
no,45.89,1529.0,B,A,24915.0,yes,27351.0,no,108.35,18.83,yes
yes,30.44,1117.0,D,E,9599.0,no,15546.35,no,247.39,10.85,yes
yes,21.33,1171.0,D,A,11438.0,no,12993.28,no,108.16,10.82,yes
yes,34.44,1136.0,D,A,11289.0,yes,20249.36,yes,203.82,10.99,yes
yes,37.41,1181.0,F,B,18782.0,no,16562.88,yes,135.51,10.82,yes
yes,23.22,1115.0,B,B,12535.0,yes,18643.67,yes,291.09,13.06,yes
no,24.67,1664.0,I,A,9602.0,yes,16927.61,no,149.85,10.84,yes
yes,17.67,1064.0,J,E,4208.0,no,14066.88,yes,315.9,10.82,yes
yes,51.32,1205.0,A,A,15793.0,yes,21445.73,no,243.8,10.82,yes
no,24.88,1363.0,A,B,5495.0,no,12754.57,no,136.05,12.3,yes
yes,37.85,1132.0,J,B,9020.0,yes,20115.43,no,194.0,10.82,yes
yes,20.56,1390.0,F,B,6443.0,no,16977.92,no,152.21,13.27,yes
no,84.12,1644.0,D,B,16538.0,yes,21921.43,no,108.5,14.28,yes
no,24.19,1218.0,D,A,9848.0,no,13124.8,no,204.86,10.82,yes
no,70.41,1680.0,D,B,12470.0,yes,23627.89,no,108.3,14.31,yes
yes,26.1,1475.0,H,B,10399.0,no,14354.15,yes,116.36,10.82,yes
no,22.11,1202.0,H,B,8221.0,no,14167.96,yes,258.09,10.82,yes
yes,65.16,1470.0,L,D,25704.0,yes,30445.26,yes,108.35,11.91,yes
no,22.16,1484.0,I,A,5309.0,yes,23214.41,no,108.7,11.2,yes
yes,16.38,1160.0,D,A,6576.0,no,13443.45,no,247.09,11.1,yes
yes,46.89,1558.0,D,B,15747.0,yes,26778.53,no,108.99,10.82,yes
no,20.48,1538.0,M,H,6214.0,yes,30033.26,yes,108.4,10.82,yes
no,29.96,1200.0,A,A,7167.0,yes,25073.69,yes,182.36,10.82,yes
yes,25.15,1403.0,D,B,7179.0,yes,18758.86,no,108.5,10.82,yes
no,19.59,1412.0,M,H,5681.0,yes,28900.93,yes,109.68,10.82,yes
no,27.18,1537.0,D,B,8673.0,yes,16498.17,no,203.09,10.84,yes
yes,12.34,1139.0,D,B,6363.0,no,15431.68,no,108.35,10.82,yes
yes,37.93,1306.0,F,A,13748.0,no,13058.44,yes,171.17,10.82,yes
yes,63.76,1452.0,G,A,17033.0,no,15499.05,yes,118.71,13.44,yes
yes,28.51,1203.0,J,B,5932.0,yes,20561.92,yes,256.03,10.82,yes
yes,21.76,1461.0,F,B,6929.0,no,16919.76,yes,158.15,11.19,yes
yes,31.37,1262.0,F,B,22574.0,no,15574.62,yes,136.15,10.82,yes
yes,30.77,1271.0,A,A,16347.0,yes,16707.2,no,228.58,11.17,yes
no,76.59,1642.0,E,C,9265.0,yes,32665.02,no,108.6,15.09,yes
yes,32.21,1236.0,A,B,9975.0,yes,22336.21,no,238.59,12.16,yes
no,21.1,1442.0,B,B,6141.0,yes,17286.17,yes,130.75,10.82,yes
yes,17.9,1066.0,D,A,8952.0,no,16506.42,no,107.71,10.82,yes
no,20.38,1111.0,B,A,7451.0,no,16275.78,no,221.65,11.78,yes
yes,31.02,1166.0,H,B,10928.0,yes,17917.2,yes,261.82,11.44,yes
no,20.92,1049.0,B,A,4565.0,yes,32723.54,no,145.77,10.95,yes
yes,20.82,1087.0,D,B,5938.0,no,15780.08,no,108.16,10.82,yes
no,25.54,1504.0,A,B,8255.0,no,13262.8,no,141.06,12.18,yes
yes,47.88,1124.0,E,B,4829.0,yes,13284.18,no,329.5,10.82,yes
yes,23.74,1098.0,F,B,8495.0,yes,25904.34,yes,270.03,10.87,yes
yes,45.26,1075.0,D,E,24757.0,yes,48889.95,no,108.35,27.13,yes
yes,35.69,1172.0,D,A,7887.0,yes,14759.65,yes,181.87,30.32,yes
yes,44.19,1263.0,B,B,5607.0,yes,15421.41,no,196.06,11.24,yes
yes,23.63,1122.0,D,A,7820.0,no,16017.63,yes,156.82,10.82,yes
no,26.61,1066.0,B,B,5952.0,yes,23530.84,no,138.26,10.82,yes
yes,32.65,1187.0,F,B,8237.0,yes,18660.31,no,139.14,10.82,yes
no,37.79,1364.0,B,A,12109.0,yes,15899.9,no,107.86,16.24,yes
no,28.76,1221.0,E,I,10667.0,yes,24948.99,yes,143.02,11.41,yes
yes,35.41,1183.0,F,B,6000.0,no,13658.25,yes,292.62,17.27,yes
yes,69.2,1296.0,J,B,22696.0,yes,23800.19,yes,233.19,12.54,yes
yes,44.14,1251.0,A,B,10016.0,yes,32004.85,yes,108.55,10.82,yes
yes,15.71,1184.0,F,B,8260.0,no,14416.83,no,170.43,10.83,yes
yes,40.9,1134.0,E,B,5929.0,yes,16096.18,no,324.88,10.82,yes
no,37.69,1556.0,B,A,22222.0,yes,28266.76,no,108.25,18.52,yes
yes,18.51,1349.0,F,B,8232.0,no,12658.84,no,162.57,13.82,yes
no,34.24,1282.0,D,E,13531.0,yes,23574.31,yes,108.84,14.18,yes
no,31.65,1120.0,F,B,8389.0,yes,36072.07,no,152.21,13.28,yes
yes,23.73,1209.0,C,B,8052.0,yes,23570.52,yes,180.89,10.82,yes
yes,22.72,1045.0,B,B,8716.0,yes,19032.49,yes,140.62,10.82,yes
yes,54.14,1315.0,E,B,15875.0,yes,19167.43,no,109.09,10.82,yes
yes,55.61,1216.0,D,A,9256.0,yes,33253.3,yes,108.65,11.18,yes
yes,29.55,1127.0,C,B,8135.0,no,14893.39,yes,286.77,10.82,yes
yes,45.56,1770.0,F,B,7799.0,yes,17447.63,no,160.31,10.84,yes
no,59.58,1094.0,A,A,5094.0,yes,27625.56,yes,308.77,10.83,yes
yes,30.54,1603.0,H,B,11269.0,yes,22411.34,yes,167.24,10.82,yes
no,16.75,1141.0,B,B,7330.0,yes,22587.52,no,212.81,14.07,yes
